YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2006,R,falkb001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,fasas001,2,203,186,41,68,12,0,5,0,15,7,0,60,5,6,4,0,0
2006,R,fasas001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,fasas001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,fassj001,1,5,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2006,R,felip001,5,639,598,145,253,35,5,21,1,95,33,4,110,18,1,1,6,0
2006,R,felip001,6,5,5,2,5,0,0,1,0,3,0,0,2,0,0,0,0,0
2006,R,felip002,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,fickr001,2,75,66,17,25,2,0,2,0,3,8,1,9,2,1,0,0,0
2006,R,fickr001,3,27,25,5,6,1,0,0,0,2,1,0,6,0,0,1,0,0
2006,R,fickr001,9,15,15,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,fickr001,11,24,22,7,8,1,0,0,0,4,1,0,7,2,0,1,0,0
2006,R,fielj001,5,18,14,2,4,2,0,0,0,0,4,0,5,0,0,0,0,0
2006,R,fielj001,10,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2006,R,fielj001,11,4,3,1,4,0,0,1,0,2,1,0,0,0,0,0,0,0
2006,R,fielp001,3,640,561,153,273,34,1,28,0,80,59,5,122,17,12,0,8,0
2006,R,fielp001,10,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,fielp001,11,4,4,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
2006,R,figgc001,4,31,28,7,11,1,0,1,0,4,3,1,5,2,0,0,0,0
2006,R,figgc001,5,146,123,28,44,4,3,2,0,13,18,0,25,1,1,1,3,0
2006,R,figgc001,7,48,46,15,22,2,1,1,0,5,2,0,7,0,0,0,0,0
2006,R,figgc001,8,419,371,103,138,14,3,5,0,38,40,0,58,3,0,4,4,0
2006,R,figgc001,9,19,18,3,5,2,0,0,0,1,0,0,3,0,1,0,0,0
2006,R,figgc001,10,18,17,4,4,0,0,0,0,1,1,0,2,0,0,0,0,0
2006,R,figgc001,11,2,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0
2006,R,figul001,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,figul001,6,4,4,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,finls001,8,468,415,101,161,20,11,6,0,40,45,1,52,6,2,2,4,0
2006,R,finls001,11,13,11,4,7,1,1,0,0,0,1,1,3,0,0,1,0,0
2006,R,fiorj001,7,49,39,10,12,2,0,0,0,7,6,0,3,1,1,2,1,0
2006,R,fiorj001,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,R,florr002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,floyc001,7,371,327,81,135,19,1,11,1,44,29,3,56,5,12,0,3,0
2006,R,floyc001,11,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,floyg001,1,23,23,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0
2006,R,foggj001,1,68,50,5,6,1,0,0,0,2,3,0,19,0,1,14,0,0
2006,R,foggj001,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2006,R,fordl001,7,141,128,26,36,2,1,2,0,8,11,0,28,3,1,1,0,0
2006,R,fordl001,8,19,18,5,9,1,0,1,0,4,0,0,3,0,1,0,0,0
2006,R,fordl001,9,83,77,21,27,3,0,1,0,5,4,0,10,2,2,0,0,0
2006,R,fordl001,10,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2006,R,fordl001,11,7,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2006,R,fossc001,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,franj002,3,92,88,27,36,6,0,1,0,15,3,0,22,3,1,0,0,0
2006,R,franj002,5,9,7,2,2,0,0,0,0,0,2,1,3,1,0,0,0,0
2006,R,franj002,10,12,10,1,2,1,0,0,0,1,2,0,2,0,0,0,0,0
2006,R,franj002,11,66,60,15,21,3,0,1,0,10,6,1,22,7,0,0,0,0
2006,R,franj003,1,80,61,7,7,0,0,0,0,6,8,0,20,0,0,9,2,0
2006,R,franj004,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,franj004,9,684,649,169,292,24,6,29,1,103,23,6,132,15,9,0,3,0
2006,R,frank001,4,85,78,18,28,4,0,2,0,6,1,0,11,3,6,0,0,0
2006,R,frank001,6,7,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2006,R,frank001,11,10,9,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
2006,R,franr001,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2006,R,freec001,7,9,9,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2006,R,freec001,8,140,129,34,50,4,3,2,0,16,10,2,29,1,1,0,0,0
2006,R,freec001,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,freec001,11,41,34,6,7,1,0,0,0,1,4,0,13,0,0,3,0,0
2006,R,freer001,4,50,43,14,22,3,1,1,0,4,6,0,5,0,1,0,0,0
2006,R,freer001,5,46,41,20,29,3,0,2,0,4,4,0,9,1,1,0,0,0
2006,R,freer001,7,20,18,6,7,1,0,0,0,0,2,0,3,0,0,0,0,0
2006,R,freer001,8,202,178,43,62,13,0,2,0,10,20,0,38,1,3,1,0,0
2006,R,freer001,9,192,165,40,61,10,1,3,0,9,21,0,40,3,4,2,0,0
2006,R,freer001,11,13,9,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
2006,R,fulta001,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,furcr001,6,733,651,196,291,32,9,15,0,63,73,3,97,7,1,5,3,0
2006,R,furcr001,11,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,gallj001,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,gallj001,7,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,gallj001,11,7,7,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0
2006,R,gallm002,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,garcf002,1,6,5,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0
2006,R,garcj003,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,garcn001,3,519,465,142,237,31,2,20,2,93,42,9,29,15,8,0,4,0
2006,R,garcn001,11,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,garkr001,3,197,173,51,83,11,0,7,0,42,14,0,36,5,7,0,3,0
2006,R,garkr001,10,9,9,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2006,R,garkr001,11,3,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
2006,R,garlj001,1,7,5,1,4,0,0,1,0,2,0,0,3,0,0,2,0,0
2006,R,gathj001,8,440,380,90,111,12,3,1,0,41,41,0,74,3,7,8,4,0
2006,R,gathj001,11,5,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2006,R,gearg001,1,6,5,1,2,1,0,0,0,1,1,0,3,0,0,0,0,0
2006,R,germe001,3,4,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2006,R,germe001,4,78,63,16,20,2,1,0,0,5,11,0,9,4,2,2,0,0
2006,R,germe001,5,91,80,28,37,9,0,0,0,13,8,0,12,0,3,0,0,0
2006,R,germe001,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,germe001,7,42,36,10,22,2,2,2,0,5,4,0,5,1,0,2,0,0
2006,R,germe001,8,32,26,14,17,0,0,1,0,2,5,0,6,1,0,1,0,0
2006,R,germe001,10,66,56,18,23,3,1,0,0,7,9,0,11,2,0,1,0,0
2006,R,germe001,11,17,14,5,9,2,1,0,0,1,3,0,5,0,0,0,0,0
2006,R,germj001,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2006,R,giamj001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,giamj001,3,268,201,58,119,13,0,16,0,46,56,3,44,3,9,0,2,0
2006,R,giamj001,10,306,241,54,128,11,0,21,1,66,53,9,61,7,7,0,5,0
2006,R,giamj001,11,4,3,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
2006,R,gibbj002,9,183,171,47,88,11,0,10,0,28,10,0,20,5,1,0,1,0
2006,R,gibbj002,10,195,172,48,69,12,0,3,0,18,22,2,28,7,1,0,0,0
2006,R,gileb002,9,717,604,159,240,37,1,14,1,83,104,6,60,18,5,0,4,0
2006,R,gilem001,4,618,542,141,206,31,2,10,0,58,62,0,104,11,6,5,3,0
2006,R,gilem001,11,8,8,3,7,1,0,1,0,2,0,0,1,1,0,0,0,0
2006,R,gimeh001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,glaut001,5,581,493,125,250,26,0,33,1,97,80,5,119,23,3,0,5,0
2006,R,glaut001,6,31,28,7,20,1,0,4,0,4,3,0,9,1,0,0,0,0
2006,R,glaut001,10,17,15,4,7,0,0,1,0,3,2,0,5,1,0,0,0,0
2006,R,glaut001,11,5,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2006,R,glavt001,1,70,53,9,10,1,0,0,0,2,7,0,18,2,0,10,0,0
2006,R,gloar001,3,107,98,37,56,6,2,3,1,15,5,0,9,2,1,3,0,0
2006,R,gloar001,7,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,gloar001,9,31,29,5,6,1,0,0,0,1,1,0,2,0,0,0,1,0
2006,R,gloar001,10,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,R,gloar001,11,20,20,7,8,1,0,0,0,1,0,0,3,1,0,0,0,0
2006,R,gobbj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2006,R,gomea001,7,36,35,10,15,2,0,1,0,3,1,0,7,0,0,0,0,0
2006,R,gomea001,9,49,43,11,13,0,1,0,0,2,4,0,6,1,1,1,0,0
2006,R,gomea001,10,18,17,4,6,2,0,0,0,1,1,0,4,0,0,0,0,0
2006,R,gomea001,11,8,8,3,6,1,1,0,0,0,0,0,4,0,0,0,0,0
2006,R,gomec001,3,56,53,20,28,5,0,1,0,8,3,1,7,3,0,0,0,0
2006,R,gomec001,4,49,44,10,12,2,0,0,0,2,3,0,3,3,2,0,0,0
2006,R,gomec001,5,20,18,7,7,0,0,0,0,3,1,0,1,1,1,0,0,0
2006,R,gomec001,6,15,15,8,11,0,0,1,0,4,0,0,0,0,0,0,0,0
2006,R,gomec001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gomec001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gomej001,9,30,26,9,20,0,1,3,0,5,4,0,7,2,0,0,0,0
2006,R,gomej001,10,423,352,71,142,20,0,17,1,51,56,2,108,8,6,0,9,0
2006,R,gomej001,11,8,7,3,4,1,0,0,0,3,1,0,1,0,0,0,0,0
2006,R,gonza001,3,10,10,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0
2006,R,gonza001,5,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2006,R,gonza001,6,10,9,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0
2006,R,gonza001,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonza001,11,13,13,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0
2006,R,gonza002,6,429,388,99,154,24,2,9,0,50,22,1,67,6,5,7,7,0
2006,R,gonza003,3,630,569,173,285,38,1,24,0,82,52,9,113,24,3,1,5,0
2006,R,gonza003,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonze001,1,13,13,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0
2006,R,gonze002,1,34,31,9,10,1,0,0,0,3,0,0,8,1,0,3,0,0
2006,R,gonze002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonzj003,1,11,8,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0
2006,R,gonzl001,7,660,578,159,260,52,2,15,0,73,69,10,58,14,7,0,6,0
2006,R,gonzl001,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonzl001,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonzl004,3,15,14,4,5,1,0,0,0,1,1,0,1,0,0,0,0,0
2006,R,gonzl004,4,99,95,22,32,5,1,1,0,8,1,0,17,2,1,2,0,0
2006,R,gonzl004,5,5,4,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
