YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abbok002,haynj001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abbok002,heref001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,hermd001,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,abbok002,hernl003,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,herso001,6,5,2,3,1,0,0,0,2,0,0,1,0,0,0,1,0
1999,abbok002,hitcs001,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,hofft001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,hudej001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,johnm002,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
1999,abbok002,johnr005,4,4,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0
1999,abbok002,joneb003,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,joned001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,klins002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,leita001,4,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1999,abbok002,levia001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,maddm002,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,magnm001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,mahop001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,masao001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,mcglk001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
