YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,tagus001,R,L,107,94,25,35,4,0,2,0,10,6,1,11,2,1,4,2,0
2004,R,tagus001,R,R,99,85,27,40,6,2,1,0,15,6,0,12,4,1,6,1,0
2004,R,tankd001,R,L,5,3,1,1,0,0,0,0,1,1,0,2,0,0,1,0,0
2004,R,tankd001,R,R,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,tavew001,R,R,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2004,R,teixm001,L,R,434,376,100,208,23,2,27,2,77,50,10,77,2,6,0,2,0
2004,R,teixm001,R,L,185,163,51,92,11,0,10,0,34,18,2,38,4,4,0,0,0
2004,R,teixm001,R,R,6,6,2,5,0,0,1,0,1,0,0,2,0,0,0,0,0
2004,R,tejam001,R,L,182,159,52,98,13,0,11,0,40,19,3,16,6,1,0,3,0
2004,R,tejam001,R,R,543,494,151,251,27,2,23,0,110,29,3,57,18,9,0,11,0
2004,R,telea001,R,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,terrl001,R,L,67,56,15,26,2,0,3,0,7,9,0,15,1,1,1,0,0
2004,R,terrl001,R,R,188,173,41,56,12,0,1,0,7,11,2,63,4,4,0,0,0
2004,R,thamm001,R,L,91,81,23,46,5,0,6,0,17,10,0,15,1,0,0,0,0
2004,R,thamm001,R,R,93,84,19,38,7,0,4,1,16,6,0,27,2,2,0,1,0
2004,R,thomc001,L,L,38,32,9,16,0,2,1,0,8,3,1,10,1,3,0,0,0
2004,R,thomc001,L,R,229,204,59,89,8,2,6,0,23,18,8,35,2,6,1,0,0
2004,R,thomf001,R,L,69,50,10,21,2,0,3,0,7,18,0,10,0,1,0,0,0
2004,R,thomf001,R,R,242,190,55,114,14,0,15,0,42,46,3,47,2,5,0,1,0
2004,R,thomj002,L,L,213,188,45,90,9,0,12,0,34,23,1,55,3,1,0,1,0
2004,R,thomj002,L,R,405,320,94,205,19,1,30,0,71,81,25,89,7,1,0,3,0
2004,R,thomj005,R,L,27,24,3,3,0,0,0,0,0,0,0,17,1,0,3,0,0
2004,R,thomj005,R,R,49,42,10,11,1,0,0,0,4,0,0,7,1,0,7,0,0
2004,R,thomr005,L,R,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,R,thurj001,L,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,thurj001,L,R,16,15,2,5,1,1,0,0,1,0,0,5,0,0,0,1,0
