YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,bailb103,7,9,8,3,3,0,0,0,0,4,0,0,1,0,0,0,1,0
1977,bailb103,11,32,27,6,12,1,1,1,0,4,5,1,5,0,0,0,0,0
1977,baked002,7,599,528,155,273,26,1,30,1,86,58,6,86,9,6,2,5,0
1977,baked002,9,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,baked002,11,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,bakej103,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bakej103,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,baldr101,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,bands101,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bands101,5,559,486,118,185,21,2,14,0,67,63,3,73,9,3,3,4,0
1977,bands101,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bands101,10,103,90,27,44,6,1,3,0,15,12,0,16,1,0,0,1,0
1977,banna001,4,14,13,4,7,1,1,0,0,0,1,0,2,1,0,0,0,0
1977,banna001,6,605,536,149,181,19,2,3,0,57,53,1,43,10,2,3,11,0
1977,banna001,7,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,banna001,8,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,banna001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bannf001,1,55,48,9,9,0,0,0,0,1,1,0,14,1,0,6,0,0
1977,barrj101,1,92,76,10,12,2,0,0,0,9,2,0,22,0,1,13,0,0
1977,bassr101,10,17,17,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0
1977,bassr101,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bayld001,3,68,63,12,18,3,0,1,0,4,3,1,5,2,1,0,1,0
1977,bayld001,7,197,175,46,75,5,0,8,1,24,17,2,23,5,3,1,1,0
1977,bayld001,8,43,38,11,15,1,0,1,0,6,2,1,7,1,1,0,2,0
1977,bayld001,9,74,65,15,27,3,0,3,0,7,4,0,10,2,4,0,1,0
1977,bayld001,10,263,220,57,108,15,0,12,0,34,36,3,31,6,3,1,3,0
1977,beasl101,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,beasl101,7,22,20,3,3,0,0,0,0,1,0,0,1,0,0,2,0,0
1977,beasl101,9,11,8,4,5,1,0,0,0,2,2,0,0,0,0,0,1,0
1977,beasl101,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,beasl101,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,belam101,6,458,402,83,110,13,4,2,0,30,43,1,68,7,3,8,2,0
1977,bellb001,5,490,439,126,183,19,4,10,1,57,40,5,57,13,1,6,4,0
1977,bellb001,7,45,37,13,19,3,0,1,0,7,5,0,6,1,0,2,1,0
1977,bellb001,11,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,bellk101,5,12,11,2,2,0,0,0,0,2,1,0,2,0,0,0,0,0
1977,bellk101,6,17,14,2,3,1,0,0,0,3,2,0,6,0,0,0,1,0
1977,bellk101,7,3,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1977,bellr102,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bencj101,2,518,459,130,257,33,2,30,2,103,49,7,87,9,1,0,6,3
1977,bencj101,3,10,9,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0
1977,bencj101,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bencj101,7,24,16,2,5,0,0,1,0,5,7,1,5,1,0,0,1,0
1977,bencj101,9,5,4,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1977,bencj101,11,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,benij001,8,477,423,114,175,19,6,10,0,50,43,0,43,13,1,8,2,0
1977,benij001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bergd001,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bergd001,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bergd001,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1977,bernj101,3,21,21,8,9,1,0,0,0,3,0,0,1,1,0,0,0,0
1977,bernj101,5,73,69,16,23,4,0,1,0,7,1,0,5,4,0,2,1,0
1977,bernj101,10,213,205,48,74,4,2,6,0,20,4,0,20,4,2,2,0,0
1977,bernj101,11,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bernv101,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,berrd001,5,40,38,7,8,1,0,0,0,3,1,0,8,0,0,0,0,1
