YEAR,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,gomea001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,gomec001,empty,287,268,71,117,22,0,8,0,8,18,0,33,0,1,0,0,0
2002,gomec001,loaded,16,16,6,11,1,2,0,0,13,0,0,2,1,0,0,0,0
2002,gomec001,menon,211,193,51,72,9,3,2,0,38,3,0,25,8,6,6,3,0
2002,gomec001,scoring,129,117,29,42,6,2,1,0,35,1,0,18,2,5,3,3,0
2002,gonza001,empty,330,307,72,135,16,4,13,0,13,21,0,87,0,2,0,0,0
2002,gonza001,loaded,20,19,7,8,1,0,0,0,13,0,0,4,1,0,0,1,0
2002,gonza001,menon,238,206,55,83,11,1,5,0,48,25,7,49,11,1,4,2,0
2002,gonza001,scoring,145,125,28,45,6,1,3,0,41,17,7,34,2,0,1,2,0
2002,gonza002,empty,90,81,17,23,3,0,1,0,1,8,0,20,0,1,0,0,0
2002,gonza002,loaded,6,6,2,2,0,0,0,0,5,0,0,1,0,0,0,0,0
2002,gonza002,menon,82,70,17,26,4,1,1,0,17,4,1,12,2,3,3,2,0
2002,gonza002,scoring,48,40,8,13,2,0,1,0,16,4,1,8,0,2,0,2,0
2002,gonzj002,empty,163,152,39,68,11,0,6,0,6,11,0,39,0,0,0,0,0
2002,gonzj002,loaded,8,6,2,2,0,0,0,0,6,0,0,1,3,1,0,1,0
2002,gonzj002,menon,133,125,39,57,10,1,2,0,29,6,1,17,11,1,0,1,0
2002,gonzj002,scoring,67,64,21,31,5,1,1,0,25,1,1,10,5,1,0,1,0
2002,gonzl001,empty,288,242,63,128,11,3,16,0,16,43,0,34,0,3,0,0,0
2002,gonzl001,loaded,19,14,4,4,0,0,0,0,18,1,0,2,0,1,0,3,0
2002,gonzl001,menon,345,282,88,132,8,0,12,0,87,54,8,42,12,2,0,7,0
2002,gonzl001,scoring,193,151,53,79,8,0,6,0,75,33,8,24,7,2,0,7,0
2002,gonzr002,empty,57,53,14,22,2,0,2,0,2,4,0,11,0,0,0,0,0
2002,gonzr002,loaded,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,gonzr002,menon,54,51,13,17,1,0,1,0,10,2,0,11,3,0,0,1,0
2002,gonzr002,scoring,30,28,10,14,1,0,1,0,10,1,0,5,2,0,0,1,0
2002,gonzw001,empty,94,82,15,20,3,1,0,0,0,12,0,13,0,0,0,0,0
2002,gonzw001,loaded,7,7,3,5,2,0,0,0,6,0,0,1,1,0,0,0,0
2002,gonzw001,menon,100,82,21,29,5,0,1,0,20,15,3,11,10,1,0,2,0
2002,gonzw001,scoring,60,47,12,19,4,0,1,0,20,11,3,8,6,0,0,2,0
2002,goodt001,empty,104,96,22,28,2,2,0,0,0,8,0,16,0,0,0,0,0
2002,goodt001,loaded,4,3,2,3,1,0,0,0,5,1,0,0,0,0,0,0,0
2002,goodt001,menon,67,58,18,24,3,0,1,0,17,6,0,9,3,0,3,0,0
2002,goodt001,scoring,44,38,13,15,2,0,0,0,15,5,0,5,1,0,1,0,0
2002,gordt001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,gordt001,menon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,gordt001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,grabj001,empty,7,6,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
2002,grabj001,menon,4,2,1,3,0,1,0,0,1,2,0,1,0,0,0,0,0
2002,grabj001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,gracm001,empty,178,156,36,62,8,0,6,0,6,21,0,18,0,1,0,0,0
2002,gracm001,loaded,15,13,2,3,1,0,0,0,8,1,0,2,0,0,0,1,0
2002,gracm001,menon,170,142,39,53,11,0,1,0,42,25,6,12,5,0,0,3,0
2002,gracm001,scoring,119,99,28,38,7,0,1,0,40,17,6,7,1,0,0,3,0
2002,graft001,empty,156,143,33,60,8,2,5,0,5,12,0,27,0,1,0,0,0
2002,graft001,loaded,6,6,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,graft001,menon,103,86,27,38,4,2,1,0,26,10,1,11,2,1,4,2,0
2002,graft001,scoring,62,51,16,23,2,1,1,0,24,6,1,7,0,1,2,2,0
2002,gravd001,empty,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
