YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,granc001,L,L,247,216,47,99,6,2,14,1,35,26,0,79,1,2,0,3,0
2012,granc001,L,R,437,380,91,194,12,2,29,1,71,49,4,116,4,3,1,4,0
2012,grany001,L,R,167,140,41,58,3,1,4,0,24,26,1,26,4,1,0,0,0
2012,grany001,R,L,59,52,16,32,4,0,4,0,12,5,0,13,4,0,0,2,0
2012,greea002,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,green001,R,L,11,11,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0
2012,green001,R,R,13,12,2,4,2,0,0,0,1,0,0,4,0,1,0,0,0
2012,greet004,R,L,130,118,33,59,6,1,6,0,14,7,0,34,1,1,1,3,0
2012,greet004,R,R,200,187,37,63,9,1,5,0,16,12,1,61,6,0,1,0,0
2012,greet005,L,L,9,5,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0
2012,greet005,L,R,108,98,18,34,7,0,3,0,13,7,0,24,3,1,0,2,0
2012,gregd001,L,L,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,gregd001,L,R,19,18,5,5,0,0,0,0,2,0,0,4,0,0,1,0,0
2012,gregl001,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,greiz001,R,L,11,10,3,7,1,0,1,0,1,0,0,1,0,0,1,0,0
2012,greiz001,R,R,27,23,4,6,2,0,0,0,1,0,0,7,2,0,3,1,0
2012,guthj001,R,L,6,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
2012,guthj001,R,R,24,21,2,2,0,0,0,0,1,1,0,10,1,0,2,0,0
2012,gutif001,R,L,71,65,26,47,7,1,4,0,13,5,0,14,4,0,0,1,0
2012,gutif001,R,R,92,85,13,16,3,0,0,0,4,4,0,17,1,2,1,0,0
2012,guyeb001,R,L,7,7,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
2012,guzmj005,R,L,142,122,37,66,7,2,6,0,22,20,2,23,1,0,0,0,0
2012,guzmj005,R,R,179,165,34,54,11,0,3,0,26,9,1,48,1,2,1,2,0
2012,gwynt002,L,L,94,86,18,21,1,1,0,0,5,7,1,21,2,0,1,0,0
2012,gwynt002,L,R,183,173,42,55,7,3,0,0,12,9,1,31,4,0,1,0,0
2012,hacke001,R,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hafnt001,L,L,72,61,12,27,1,1,4,0,10,8,0,17,4,2,0,1,0
2012,hafnt001,L,R,191,158,38,69,5,1,8,0,24,24,2,30,5,7,0,2,0
2012,hagum001,R,L,24,23,7,7,0,0,0,0,3,1,0,4,0,0,0,0,0
2012,hagum001,R,R,50,47,9,11,2,0,0,0,4,2,0,10,1,1,0,0,0
2012,hairj002,R,L,105,92,27,40,5,1,2,0,11,10,1,12,2,1,1,1,0
2012,hairj002,R,R,162,146,38,52,8,0,2,0,15,13,1,15,5,2,0,1,0
2012,hairs001,R,L,199,189,54,104,17,0,11,0,30,8,0,34,4,1,0,1,0
2012,hairs001,R,R,199,188,45,86,8,3,9,1,27,11,0,49,6,0,0,0,0
2012,hallb001,R,L,11,7,1,4,0,0,1,0,1,4,1,6,0,0,0,0,0
2012,hallb001,R,R,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2012,hallr001,R,L,18,16,1,1,0,0,0,0,0,0,0,8,0,0,2,0,0
2012,hallr001,R,R,39,37,8,8,0,0,0,0,2,0,0,18,0,0,2,0,0
2012,hamec001,L,L,20,17,2,2,0,0,0,0,2,1,0,11,0,0,2,0,0
2012,hamec001,L,R,62,52,13,18,2,0,1,0,3,3,0,16,1,1,6,0,0
2012,hamij003,L,L,192,175,51,91,10,0,10,0,41,11,0,54,2,2,0,4,0
2012,hamij003,L,R,444,387,109,233,21,2,33,0,87,49,13,108,7,3,0,5,0
2012,hammj002,R,L,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2012,hammj002,R,R,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
2012,hampj001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,handb001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hanir001,R,L,89,70,23,27,1,0,1,0,8,17,2,6,3,0,1,1,0
2012,hanir001,R,R,282,247,64,80,13,0,1,0,16,27,11,31,3,3,3,2,0
2012,hannj001,L,L,81,72,12,16,1,0,1,0,7,8,0,20,1,1,0,0,0
2012,hannj001,L,R,237,215,58,82,15,0,3,0,22,19,0,43,8,1,1,1,0
2012,hanst001,R,L,18,14,0,0,0,0,0,0,0,1,0,7,0,0,3,0,0
2012,hanst001,R,R,43,35,1,1,0,0,0,0,0,1,0,23,0,0,7,0,0
2012,happj001,L,L,10,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
2012,happj001,L,R,30,25,3,3,0,0,0,0,1,3,0,13,0,0,2,0,0
2012,haraa001,R,L,25,24,1,1,0,0,0,0,2,0,0,8,0,0,1,0,0
2012,haraa001,R,R,38,32,3,4,1,0,0,0,0,0,0,15,0,0,6,0,0
2012,hardj003,R,L,180,166,46,72,7,2,5,0,19,14,4,28,9,0,0,0,0
2012,hardj003,R,R,533,497,112,186,23,0,17,0,49,24,0,78,12,3,7,2,0
2012,hared001,R,L,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2012,hared001,R,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
