YEAR,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1998,ashba002,menon,383,339,82,111,14,0,5,0,63,27,8,55,25,4,8,5,0
1998,ashba002,scoring,229,195,44,60,7,0,3,0,57,23,8,36,3,4,2,5,0
1998,assep001,empty,105,98,33,44,5,0,2,0,2,6,0,20,0,1,0,0,0
1998,assep001,loaded,8,7,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0
1998,assep001,menon,108,91,21,35,3,1,3,0,20,13,6,23,3,0,2,2,0
1998,assep001,scoring,68,54,11,20,3,0,2,0,17,11,6,13,0,0,1,2,0
1998,astap001,empty,531,481,132,213,16,4,19,0,19,44,0,109,0,6,0,0,0
1998,astap001,loaded,21,18,7,16,1,1,2,2,23,1,0,4,1,2,0,0,0
1998,astap001,menon,407,351,113,200,19,4,20,2,123,30,0,61,18,11,12,3,0
1998,astap001,scoring,211,179,63,108,8,2,11,2,96,18,0,32,3,7,4,3,0
1998,avers001,empty,308,271,65,109,12,1,10,0,10,36,0,33,0,1,0,0,0
1998,avers001,loaded,12,9,5,5,0,0,0,0,13,3,0,1,1,0,0,0,0
1998,avers001,menon,238,204,63,94,15,2,4,0,53,28,0,24,17,3,3,0,0
1998,avers001,scoring,151,129,38,59,11,2,2,0,48,18,0,14,5,2,2,0,0
1998,ayalb002,empty,163,153,45,68,11,0,4,0,4,9,0,39,0,1,0,0,0
1998,ayalb002,loaded,12,10,3,6,0,0,1,1,11,1,0,2,1,0,0,1,0
1998,ayalb002,menon,188,157,55,82,8,2,5,1,53,17,4,29,3,0,8,6,0
1998,ayalb002,scoring,121,98,36,54,7,1,3,1,47,13,4,16,2,0,4,6,0
1998,aybam001,empty,197,176,49,74,11,1,4,0,4,19,0,33,0,2,0,0,0
1998,aybam001,loaded,3,3,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
1998,aybam001,menon,172,144,41,63,14,1,2,0,37,23,1,24,7,0,4,1,0
1998,aybam001,scoring,101,82,25,40,10,1,1,0,34,16,1,16,3,0,2,1,0
1998,bailc001,empty,8,7,2,5,0,0,1,0,1,1,0,1,0,0,0,0,0
1998,bailc001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,bailc001,menon,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,bailc001,scoring,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,bails001,empty,86,83,25,44,6,2,3,0,3,3,0,16,0,0,0,0,0
1998,bails001,loaded,5,5,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0
1998,bails001,menon,101,91,36,56,12,1,2,0,39,8,0,14,6,0,0,2,0
1998,bails001,scoring,75,68,25,40,10,1,1,0,36,5,0,10,1,0,0,2,0
1998,baldj002,empty,388,352,97,157,24,3,10,0,10,29,0,52,0,7,0,0,0
1998,baldj002,loaded,15,14,6,12,3,0,1,1,15,0,0,1,1,0,0,1,0
1998,baldj002,menon,324,282,79,125,20,1,8,1,85,31,2,56,13,3,3,5,0
1998,baldj002,scoring,202,171,51,82,14,1,5,1,77,22,2,35,5,3,1,5,0
1998,bankw001,empty,125,106,21,27,3,0,1,0,1,18,0,28,0,1,0,0,0
1998,bankw001,loaded,10,9,2,4,0,1,0,0,7,1,0,0,0,0,0,0,0
1998,bankw001,menon,140,113,33,58,6,2,5,0,38,19,4,12,4,1,6,1,0
1998,bankw001,scoring,95,80,18,35,3,1,4,0,35,12,4,9,2,0,2,1,0
1998,baptt001,empty,64,59,22,41,7,0,4,0,4,5,0,5,0,0,0,0,0
1998,baptt001,loaded,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1998,baptt001,menon,59,47,12,19,4,0,1,0,17,6,1,6,2,0,0,6,0
1998,baptt001,scoring,34,24,7,11,1,0,1,0,16,4,1,4,1,0,0,6,0
1998,barbb002,empty,106,97,22,33,3,1,2,0,2,9,0,13,0,0,0,0,0
1998,barbb002,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1998,barbb002,menon,74,66,23,39,7,0,3,0,23,4,1,11,4,1,0,3,0
1998,barbb002,scoring,41,35,16,28,3,0,3,0,22,3,1,7,1,0,0,3,0
1998,barkb002,empty,26,22,8,8,0,0,0,0,0,3,0,1,0,1,0,0,0
1998,barkb002,menon,33,25,8,14,0,0,2,0,10,6,1,1,1,0,0,2,0
1998,barkb002,scoring,17,11,4,10,0,0,2,0,10,4,1,1,0,0,0,2,0
1998,barrm002,empty,7,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
1998,barrm002,loaded,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1998,barrm002,menon,10,9,4,7,0,0,1,0,4,1,0,0,2,0,0,0,0
1998,barrm002,scoring,6,6,2,5,0,0,1,0,4,0,0,0,2,0,0,0,0
1998,batim001,empty,311,276,77,115,14,0,8,0,8,33,0,51,0,2,0,0,0
1998,batim001,loaded,24,22,6,6,0,0,0,0,11,1,0,5,2,0,0,1,0
1998,batim001,menon,287,239,64,87,11,0,4,0,57,32,7,41,13,4,7,5,0
1998,batim001,scoring,167,137,37,48,5,0,2,0,50,19,7,25,6,2,4,5,0
1998,beckr001,empty,164,158,52,89,7,3,8,0,8,4,0,35,0,2,0,0,0
1998,beckr001,loaded,11,9,2,2,0,0,0,0,5,1,0,1,0,0,0,1,0
1998,beckr001,menon,185,162,34,50,7,0,3,0,30,16,4,46,3,0,2,5,0
1998,beckr001,scoring,123,104,17,25,2,0,2,0,28,12,4,34,1,0,2,5,0
1998,beecm001,empty,300,269,68,121,9,1,14,0,14,29,0,59,0,2,0,0,0
1998,beecm001,loaded,18,16,6,7,1,0,0,0,12,2,0,6,1,0,0,0,0
1998,beecm001,menon,231,189,58,89,12,2,5,0,49,34,2,54,12,2,4,2,0
1998,beecm001,scoring,123,97,29,44,7,1,2,0,40,22,2,31,4,1,1,2,0
1998,belct001,empty,562,523,143,241,28,2,22,0,22,36,0,67,0,3,0,0,0
1998,belct001,loaded,20,18,6,14,0,1,2,2,19,2,0,4,1,0,0,0,0
1998,belct001,menon,441,386,104,167,12,3,15,2,101,37,0,63,20,4,5,9,0
1998,belct001,scoring,256,219,52,92,9,2,9,2,87,24,0,38,7,4,0,9,0
1998,belis001,empty,143,130,30,45,7,1,2,0,2,13,0,37,0,0,0,0,0
1998,belis001,loaded,9,8,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
1998,belis001,menon,111,87,16,33,0,1,5,0,20,15,6,20,4,1,7,1,0
1998,belis001,scoring,74,56,11,22,0,1,3,0,16,14,6,14,1,1,2,1,0
1998,beltr001,empty,23,21,5,10,2,0,1,0,1,2,0,4,0,0,0,0,0
1998,beltr001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,beltr001,menon,10,7,1,1,0,0,0,0,1,2,0,1,0,0,0,1,0
1998,beltr001,scoring,5,2,1,1,0,0,0,0,1,2,0,1,0,0,0,1,0
1998,benea001,empty,577,540,138,222,26,5,16,0,16,36,0,108,0,1,0,0,0
1998,benea001,loaded,13,10,4,11,1,0,2,2,16,1,0,4,0,0,0,2,0
1998,benea001,menon,402,340,83,139,23,3,9,2,86,38,3,56,9,5,11,8,0
1998,benea001,scoring,254,212,47,78,11,1,6,2,74,28,3,40,2,4,2,8,0
1998,benia001,empty,148,132,25,45,3,1,5,0,5,15,0,45,0,1,0,0,0
1998,benia001,loaded,16,11,3,4,1,0,0,0,10,3,0,3,0,1,0,1,0
1998,benia001,menon,141,109,23,42,4,0,5,0,34,24,2,42,4,3,3,2,0
1998,benia001,scoring,81,57,14,25,2,0,3,0,29,17,2,22,1,3,2,2,0
1998,bennj001,empty,5,4,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0
1998,bennj001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,bennj001,menon,6,4,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0
1998,bennj001,scoring,5,4,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0
1998,benns001,empty,201,176,46,70,10,1,4,0,4,22,0,29,0,3,0,0,0
1998,benns001,loaded,22,21,8,8,0,0,0,0,15,1,0,5,1,0,0,0,0
1998,benns001,menon,216,175,51,74,9,1,4,0,59,23,3,30,3,3,9,6,0
1998,benns001,scoring,140,111,33,41,5,0,1,0,50,19,3,19,2,2,2,6,0
1998,berej002,empty,302,259,70,120,17,3,9,0,9,43,0,46,0,0,0,0,0
1998,berej002,loaded,21,15,7,14,1,0,2,2,24,1,0,3,0,0,0,5,0
1998,berej002,menon,286,237,67,104,11,1,8,2,73,35,0,38,6,3,4,7,0
1998,berej002,scoring,171,137,42,65,8,0,5,2,65,22,0,22,1,3,2,7,0
1998,bergs001,empty,436,410,116,183,24,2,13,0,13,24,0,57,0,2,0,0,0
1998,bergs001,loaded,8,6,3,4,1,0,0,0,8,1,0,1,0,0,1,0,0
1998,bergs001,menon,297,272,67,106,16,1,7,0,61,18,3,43,14,3,3,1,0
1998,bergs001,scoring,153,136,31,54,6,1,5,0,54,13,3,25,4,2,1,1,0
1998,bevib001,empty,75,60,18,39,7,1,4,0,4,15,0,18,0,0,0,0,0
1998,bevib001,loaded,6,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1998,bevib001,menon,119,106,29,34,1,2,0,0,21,7,1,29,0,3,1,2,0
1998,bevib001,scoring,75,66,17,21,0,2,0,0,20,4,1,18,0,2,1,2,0
1998,blaiw001,empty,452,418,114,191,22,5,15,0,15,33,0,64,0,1,0,0,0
1998,blaiw001,loaded,9,9,2,5,0,0,1,1,6,0,0,2,0,0,0,0,0
1998,blaiw001,menon,298,249,74,135,11,1,16,1,80,28,2,28,19,3,14,4,0
1998,blaiw001,scoring,176,144,43,86,7,0,12,1,69,21,2,15,8,3,4,4,0
1998,bochd001,empty,143,126,38,79,7,2,10,0,10,17,0,22,0,0,0,0,0
1998,bochd001,loaded,21,17,3,5,0,1,0,0,11,2,0,5,2,1,0,1,0
1998,bochd001,menon,169,136,35,66,2,4,7,0,46,25,6,23,5,3,2,3,0
1998,bochd001,scoring,122,95,21,41,2,3,4,0,39,19,6,16,4,3,2,3,0
1998,boehb001,empty,168,145,39,65,8,0,6,0,6,21,0,38,0,2,0,0,0
1998,boehb001,loaded,16,15,5,8,0,0,1,1,14,1,0,5,0,0,0,0,0
1998,boehb001,menon,179,147,36,57,9,0,4,1,40,24,4,29,7,2,5,1,0
1998,boehb001,scoring,104,84,19,23,1,0,1,1,30,14,4,19,2,2,3,1,0
1998,bohab001,empty,374,333,68,115,18,4,7,0,7,33,0,73,0,8,0,0,0
1998,bohab001,loaded,13,12,3,5,0,1,0,0,6,0,0,4,1,0,0,1,0
1998,bohab001,menon,252,216,53,82,9,1,6,0,47,24,2,38,17,3,7,2,0
1998,bohab001,scoring,147,125,28,38,5,1,1,0,36,14,2,27,8,3,3,2,0
1998,boner001,empty,107,99,28,39,5,0,2,0,2,8,0,17,0,0,0,0,0
1998,boner001,loaded,7,7,2,3,1,0,0,0,4,0,0,1,1,0,0,0,0
1998,boner001,menon,124,102,21,34,5,1,2,0,23,16,5,21,5,1,5,0,0
1998,boner001,scoring,85,71,14,21,2,1,1,0,19,12,5,15,4,1,1,0,0
1998,borlt001,empty,15,14,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0
1998,borlt001,loaded,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1998,borlt001,menon,24,19,7,12,2,0,1,0,9,4,0,5,1,0,1,0,0
1998,borlt001,scoring,19,16,6,11,2,0,1,0,9,3,0,3,1,0,0,0,0
1998,boroj001,empty,25,22,3,4,1,0,0,0,0,3,0,6,0,0,0,0,0
1998,boroj001,menon,17,16,8,10,2,0,0,0,6,1,0,1,2,0,0,0,0
1998,boroj001,scoring,9,8,4,5,1,0,0,0,5,1,0,1,2,0,0,0,0
1998,bosks001,empty,42,40,16,25,3,0,2,0,2,0,0,5,0,2,0,0,0
1998,bosks001,loaded,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1998,bosks001,menon,48,42,18,29,2,0,3,0,18,4,1,5,2,0,1,1,0
1998,bosks001,scoring,30,25,13,21,2,0,2,0,16,3,1,4,1,0,1,1,0
1998,bottk001,empty,327,297,69,93,15,0,3,0,3,28,0,59,0,2,0,0,0
1998,bottk001,loaded,10,8,4,5,1,0,0,0,10,0,0,0,0,0,0,2,0
1998,bottk001,menon,251,206,59,97,8,0,10,0,63,29,3,39,10,2,11,3,0
1998,bottk001,scoring,142,117,35,53,6,0,4,0,50,16,2,23,4,0,6,3,0
1998,bottr001,empty,102,91,26,38,1,1,3,0,3,10,0,10,0,1,0,0,0
1998,bottr001,loaded,10,9,4,8,1,0,1,1,9,0,0,1,1,0,0,1,0
1998,bottr001,menon,104,86,28,51,11,0,4,1,31,15,5,17,4,0,1,2,0
1998,bottr001,scoring,64,52,16,35,7,0,4,1,29,10,5,9,1,0,0,2,0
1998,bradc001,empty,67,64,12,14,2,0,0,0,0,3,0,5,0,0,0,0,0
1998,bradc001,loaded,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1998,bradc001,menon,58,54,15,19,4,0,0,0,12,4,0,6,3,0,0,0,0
1998,bradc001,scoring,33,31,8,10,2,0,0,0,10,2,0,4,2,0,0,0,0
1998,bradr001,empty,30,23,4,5,1,0,0,0,0,6,0,8,0,1,0,0,0
1998,bradr001,menon,29,25,8,16,2,0,2,0,10,3,0,5,1,0,0,1,0
1998,bradr001,scoring,18,15,5,12,1,0,2,0,9,2,0,2,0,0,0,1,0
1998,branj001,empty,128,119,22,38,4,0,4,0,4,8,0,27,0,1,0,0,0
1998,branj001,loaded,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
