YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,R,ballj002,L,R,760,697,201,281,38,3,12,0,62,47,5,40,23,3,9,4,0
1989,R,banks001,R,L,456,417,96,159,16,4,13,0,38,33,1,73,7,0,1,5,0
1989,R,banks001,R,R,406,367,91,136,15,6,6,0,36,30,0,67,8,3,3,3,0
1989,R,bannf001,L,L,53,48,17,24,4,0,1,0,7,4,0,6,2,0,1,0,0
1989,R,bannf001,L,R,270,252,70,105,10,2,7,0,24,14,1,29,6,1,1,2,0
1989,R,barfj002,L,L,12,10,1,2,1,0,0,0,1,1,0,4,0,0,1,0,0
1989,R,barfj002,L,R,40,37,14,18,4,0,0,0,7,3,0,5,2,0,0,0,0
1989,R,bautj001,R,L,164,157,44,74,6,3,6,0,21,6,0,13,2,0,1,0,0
1989,R,bautj001,R,R,161,150,40,77,2,1,11,0,27,9,0,17,4,1,0,1,0
1989,R,beard001,R,L,11,9,3,9,0,0,2,0,5,2,0,0,0,0,0,0,0
1989,R,beard001,R,R,16,15,6,7,1,0,0,0,1,0,0,1,0,1,0,0,0
1989,R,beatb001,L,L,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1989,R,beatb001,L,R,19,17,5,9,1,0,1,0,1,2,0,1,0,0,0,0,0
1989,R,bedrs001,R,L,194,164,33,61,4,0,8,0,26,27,5,32,3,1,0,2,0
1989,R,bedrs001,R,R,148,133,23,37,2,0,4,0,12,12,0,26,2,0,1,2,0
1989,R,belct001,R,L,534,473,103,138,12,1,7,1,36,51,3,104,4,4,3,3,0
1989,R,belct001,R,R,403,365,79,132,12,1,13,1,34,29,2,96,5,3,3,3,0
1989,R,belis001,R,L,21,19,7,7,0,0,0,0,2,2,0,7,1,0,0,0,0
1989,R,belis001,R,R,25,25,6,6,0,0,0,0,3,0,0,3,1,0,0,0,0
1989,R,benea001,R,L,159,131,28,47,5,1,4,0,13,23,0,34,2,1,3,1,0
1989,R,benea001,R,R,121,109,23,37,5,0,3,0,13,8,0,32,2,0,3,1,0
1989,R,berej001,R,L,191,164,54,86,11,0,7,0,30,23,0,33,2,0,2,2,0
1989,R,berej001,R,R,261,227,42,61,7,0,4,0,23,24,0,60,6,2,5,3,0
1989,R,bielm001,R,L,477,420,106,167,25,3,10,0,22,55,6,70,5,0,1,1,0
1989,R,bielm001,R,R,405,369,81,119,16,2,6,0,38,26,2,77,13,0,8,2,0
1989,R,birkm001,R,L,97,88,27,38,4,2,1,0,7,6,1,11,1,0,1,2,0
1989,R,birkm001,R,R,117,96,30,44,5,0,3,0,19,16,1,20,3,3,1,1,0
1989,R,birtt001,L,L,89,81,16,28,4,1,2,0,11,4,0,18,2,0,3,1,0
1989,R,birtt001,L,R,211,180,52,74,9,2,3,0,25,23,8,39,3,3,0,5,0
