YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,ayall001,menon,172,154,45,61,9,2,1,0,45,10,2,19,14,4,2,2,0
2004,R,ayall001,scoring,111,95,27,33,4,1,0,0,40,9,2,11,3,4,1,2,0
2004,D,backb001,empty,17,16,3,7,1,0,1,0,1,1,0,3,0,0,0,0,0
2004,L,backb001,empty,37,35,4,7,1,1,0,0,0,1,0,9,0,1,0,0,0
2004,R,backb001,empty,159,141,43,75,6,1,8,0,8,17,0,29,0,1,0,0,0
2004,D,backb001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,backb001,loaded,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2004,D,backb001,menon,8,6,2,2,0,0,0,0,1,1,1,2,0,1,0,0,0
2004,L,backb001,menon,11,8,2,6,1,0,1,0,3,3,0,1,1,0,0,0,0
2004,R,backb001,menon,134,118,32,48,10,0,2,0,20,10,4,25,7,0,5,1,0
2004,D,backb001,scoring,5,3,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0
2004,L,backb001,scoring,6,5,2,6,1,0,1,0,3,1,0,0,1,0,0,0,0
2004,R,backb001,scoring,70,59,15,26,5,0,2,0,18,9,4,16,1,0,1,1,0
2004,R,bacsm001,empty,40,38,8,11,3,0,0,0,0,1,0,3,0,1,0,0,0
2004,R,bacsm001,loaded,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,bacsm001,menon,23,22,8,16,2,0,2,0,8,0,0,3,2,1,0,0,0
2004,R,bacsm001,scoring,16,15,5,11,0,0,2,0,7,0,0,2,0,1,0,0,0
2004,R,baekc001,empty,73,67,19,33,6,1,2,0,2,6,0,7,0,0,0,0,0
2004,R,baekc001,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2004,R,baekc001,menon,66,59,16,29,4,0,3,0,19,5,1,13,1,2,0,0,0
2004,R,baekc001,scoring,41,37,10,22,3,0,3,0,19,3,1,8,0,1,0,0,0
2004,R,baezd001,empty,137,122,34,50,8,1,2,0,2,11,0,29,0,4,0,0,0
2004,R,baezd001,loaded,12,11,1,1,0,0,0,0,3,0,0,1,2,0,0,1,0
2004,R,baezd001,menon,158,131,26,41,3,0,4,0,27,18,4,23,6,3,5,1,0
2004,R,baezd001,scoring,109,90,18,27,0,0,3,0,25,14,4,14,2,2,2,1,0
2004,R,bajej001,empty,13,11,8,8,0,0,0,0,0,2,0,1,0,0,0,0,0
2004,R,bajej001,loaded,5,4,1,3,0,1,0,0,4,1,0,2,0,0,0,0,0
2004,R,bajej001,menon,31,26,7,11,2,1,0,0,6,4,1,7,1,0,1,0,0
2004,R,bajej001,scoring,14,11,3,5,0,1,0,0,6,3,1,3,0,0,0,0,0
2004,R,baldj002,empty,16,14,7,13,1,1,1,0,1,2,0,0,0,0,0,0,0
2004,R,baldj002,loaded,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2004,R,baldj002,menon,20,15,6,15,1,1,2,0,7,3,1,1,0,1,1,0,0
2004,R,baldj002,scoring,14,10,3,9,1,1,1,0,5,3,1,0,0,1,0,0,0
2004,D,balfg001,empty,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,R,balfg001,empty,82,68,14,24,1,0,3,0,3,13,0,22,0,1,0,0,0
2004,R,balfg001,loaded,11,10,2,2,0,0,0,0,6,0,0,4,1,1,0,0,0
2004,D,balfg001,menon,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,R,balfg001,menon,90,79,21,26,0,1,1,0,16,8,1,20,2,1,2,0,0
2004,R,balfg001,scoring,51,44,11,14,0,0,1,0,15,6,1,12,1,1,0,0,0
2004,R,bartc001,empty,37,34,9,17,2,0,2,0,2,3,0,12,0,0,0,0,0
2004,R,bartc001,loaded,7,6,3,7,1,0,1,1,10,1,0,2,0,0,0,0,0
2004,R,bartc001,menon,54,46,13,24,5,0,2,1,18,8,0,13,0,0,0,0,0
2004,R,bartc001,scoring,36,30,10,21,5,0,2,1,18,6,0,8,0,0,0,0,0
2004,R,batim001,empty,482,420,109,176,22,3,13,0,13,62,0,52,0,0,0,0,0
2004,R,batim001,loaded,20,19,5,10,2,0,1,1,15,1,0,6,1,0,0,0,0
2004,R,batim001,menon,385,335,97,149,21,2,9,1,93,34,1,52,22,3,7,6,0
2004,R,batim001,scoring,214,181,56,90,14,1,6,1,84,22,1,33,8,2,3,6,0
