YEAR,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,bongj001,L,L,12,11,2,3,1,0,0,0,2,1,0,2,0,0,0,0,0
2002,bongj001,L,R,15,14,6,10,4,0,0,0,3,1,0,2,1,0,0,0,0
2002,borbp001,L,L,134,120,29,50,9,0,4,0,21,10,1,35,1,0,1,3,0
2002,borbp001,L,R,98,75,24,50,8,0,6,1,21,15,7,15,0,3,2,3,0
2002,borlt001,R,L,25,23,7,14,1,0,2,0,5,2,0,5,0,0,0,0,0
2002,borlt001,R,R,37,29,7,11,1,0,1,0,6,3,0,6,0,3,0,2,0
2002,boroj001,R,L,164,148,31,52,7,1,4,0,11,12,3,51,4,1,2,0,1
2002,boroj001,R,R,227,204,53,83,10,1,6,0,31,17,3,46,4,0,3,3,0
2002,bottr001,R,L,58,45,14,19,2,0,1,0,6,9,1,8,1,1,2,1,0
2002,bottr001,R,R,70,65,19,34,5,2,2,0,16,4,1,16,1,1,0,0,0
2002,bowim001,L,L,26,22,6,11,2,0,1,1,5,3,0,3,1,1,0,0,0
2002,bowim001,L,R,29,24,6,11,5,0,0,0,2,5,1,5,1,0,0,0,0
2002,bowlb001,R,L,36,27,6,8,2,0,0,0,8,7,0,5,1,1,0,1,0
2002,bowlb001,R,R,53,44,7,10,3,0,0,0,3,7,1,14,1,2,0,0,0
2002,boydj001,R,L,61,51,12,23,2,0,3,0,12,7,1,11,2,0,1,2,0
2002,boydj001,R,R,70,59,21,38,6,1,3,1,17,8,0,7,2,0,2,1,0
2002,bradc001,R,L,104,90,24,30,4,1,0,0,11,9,3,14,3,3,0,2,0
2002,bradc001,R,R,207,198,49,64,9,0,2,0,25,5,2,42,5,2,2,0,0
2002,brazd001,R,L,18,15,4,10,0,0,2,0,5,2,0,1,1,1,0,0,0
2002,brazd001,R,R,33,28,8,13,2,0,1,0,2,4,0,4,3,1,0,0,0
2002,brocc001,R,L,92,83,21,39,4,1,4,0,13,8,1,15,2,0,0,1,0
2002,brocc001,R,R,100,92,31,47,8,1,2,0,14,6,0,6,4,1,0,1,0
2002,broht001,L,L,13,12,3,4,1,0,0,0,0,0,0,2,0,1,0,0,0
2002,broht001,L,R,12,10,2,5,0,0,1,0,2,1,0,1,0,1,0,0,0
2002,browj003,R,L,145,126,32,47,9,0,2,0,14,17,2,21,3,1,1,0,0
2002,browj003,R,R,199,179,45,70,8,1,5,0,24,15,0,36,8,3,1,1,0
2002,browk001,R,L,119,106,26,41,3,0,4,0,16,12,1,23,2,0,1,0,0
2002,browk001,R,R,159,142,42,66,5,2,5,0,14,11,0,35,4,5,1,0,0
2002,buddm001,R,L,85,72,23,40,5,0,4,0,10,11,3,9,1,0,2,0,0
2002,buddm001,R,R,100,85,23,32,6,0,1,0,12,10,4,19,4,1,3,1,0
2002,buehm001,L,L,261,241,55,96,11,0,10,0,37,14,0,43,4,2,3,1,0
2002,buehm001,L,R,723,667,181,272,42,2,15,0,55,47,7,91,20,1,6,2,0
2002,bukvr001,R,L,56,41,7,8,1,0,0,0,6,11,3,12,1,0,1,3,0
2002,bukvr001,R,R,65,53,19,32,7,0,2,0,16,8,0,8,1,1,3,0,0
2002,burbd001,R,L,333,295,73,120,18,4,7,0,31,33,3,45,5,5,0,0,0
2002,burbd001,R,R,313,280,82,141,30,1,9,0,51,24,0,50,3,4,2,3,0
2002,burkj001,R,L,388,352,98,160,15,1,15,0,53,28,5,66,9,2,3,3,0
2002,burkj001,R,R,372,341,101,157,20,3,10,0,31,22,0,58,4,6,2,1,0
2002,burna001,R,L,416,359,87,127,19,3,5,0,34,46,2,100,6,5,4,2,0
2002,burna001,R,R,428,373,66,99,12,0,7,1,44,44,3,103,8,4,5,2,0
2002,bynum001,L,L,27,24,9,15,0,0,2,0,8,2,0,5,0,1,0,0,0
2002,bynum001,L,R,103,83,24,35,4,2,1,0,19,13,2,12,2,2,3,2,0
2002,byrdp001,R,L,497,472,127,218,28,6,17,0,48,18,1,59,8,1,1,5,0
2002,byrdp001,R,R,438,403,97,174,18,1,19,0,54,20,0,70,9,6,1,8,0
2002,cabrj001,R,L,209,181,50,105,12,2,13,0,32,22,6,26,2,4,1,1,0
2002,cabrj001,R,R,265,236,81,134,19,2,10,0,53,14,3,35,2,5,7,3,0
2002,callm001,R,L,73,65,14,17,0,0,1,0,6,7,0,13,4,0,1,0,0
2002,callm001,R,R,74,67,17,29,3,0,3,0,10,4,0,10,1,3,0,0,0
2002,carpc002,R,L,182,164,54,87,7,1,8,0,24,15,0,21,6,0,0,3,0
2002,carpc002,R,R,145,127,35,52,8,0,3,0,16,12,0,24,2,4,1,1,0
2002,carrg001,R,L,152,137,34,62,10,0,6,0,23,11,3,17,1,2,1,1,0
2002,carrg001,R,R,235,204,49,84,9,1,8,0,26,21,1,39,2,4,5,1,0
2002,cartl002,R,L,35,33,7,11,1,0,1,0,1,2,1,4,2,0,0,0,0
2002,cartl002,R,R,44,41,8,14,3,0,1,0,2,3,0,10,1,0,0,0,0
2002,casss001,R,L,124,95,23,47,9,0,5,0,17,21,2,21,2,2,3,3,0
2002,casss001,R,R,158,139,29,55,3,1,7,1,27,11,1,27,3,5,1,2,0
2002,castf001,R,L,337,288,81,124,16,0,9,1,49,41,4,62,2,3,1,4,0
2002,castf001,R,R,374,346,93,140,15,1,10,0,44,17,2,50,8,4,0,7,0
2002,cerdj001,L,L,52,41,11,15,2,1,0,0,9,9,0,9,0,0,0,2,0
2002,cerdj001,L,R,61,54,11,12,1,0,0,0,4,5,0,12,1,1,0,1,0
2002,chacs001,R,L,236,204,65,122,9,3,14,0,36,29,3,29,4,2,1,0,0
2002,chacs001,R,R,301,259,57,109,17,1,11,0,37,31,0,38,5,5,4,2,0
2002,chenb001,L,L,134,115,29,40,5,0,2,0,17,17,0,35,1,0,0,2,0
2002,chenb001,L,R,226,195,56,113,15,0,14,1,35,26,5,45,4,2,2,1,0
2002,chias002,R,L,13,10,5,10,2,0,1,1,6,3,1,2,0,0,0,0,0
2002,chias002,R,R,18,15,6,11,2,0,1,0,5,3,0,1,0,0,0,0,0
2002,chilm001,R,L,21,15,8,16,3,1,1,0,11,6,1,1,0,0,0,0,0
2002,chilm001,R,R,27,23,5,9,1,0,1,0,5,2,0,5,1,1,1,0,0
2002,choar001,L,L,34,28,3,3,0,0,0,0,3,6,0,12,0,0,0,0,0
2002,choar001,L,R,67,55,15,24,6,0,1,0,12,9,0,5,2,3,0,0,0
2002,chrij002,L,L,9,7,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
2002,chrij002,L,R,12,12,5,10,2,0,1,0,2,0,0,0,0,0,0,0,0
2002,clemm001,R,L,398,341,75,116,16,2,7,0,34,53,5,81,4,0,1,3,0
2002,clemm001,R,R,460,411,87,143,23,0,11,0,40,32,2,134,13,6,10,1,0
2002,clemr001,R,L,418,363,80,126,15,2,9,0,31,47,6,104,5,3,3,2,0
2002,clemr001,R,R,350,325,92,147,28,0,9,1,47,16,0,88,4,4,2,3,0
2002,cocop001,R,L,5,4,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0
2002,cocop001,R,R,5,3,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0
2002,coggd001,R,L,146,122,35,56,7,4,2,0,21,23,1,18,4,0,1,0,0
2002,coggd001,R,R,193,159,30,41,5,0,2,0,21,28,2,46,5,4,0,2,0
2002,colob001,R,L,458,409,99,154,14,4,11,0,31,37,4,77,15,2,9,1,0
2002,colob001,R,R,508,460,120,181,30,2,9,0,45,33,1,72,15,0,10,5,0
2002,coloj001,R,L,86,70,29,44,3,0,4,0,21,14,3,12,1,0,1,1,0
2002,coloj001,R,R,118,94,27,42,5,2,2,0,17,19,2,21,3,2,3,0,0
2002,condc001,R,L,51,44,11,13,2,0,0,0,2,6,1,4,2,0,0,1,0
2002,condc001,R,R,55,48,9,14,2,0,1,0,4,2,0,12,1,2,2,1,0
2002,cooka002,R,L,68,61,18,22,2,1,0,0,5,6,0,2,2,1,0,0,0
2002,cooka002,R,R,86,78,23,38,3,0,4,0,13,7,0,12,6,1,0,0,0
2002,cookd001,L,L,63,53,14,23,4,1,1,0,9,7,0,6,1,1,0,2,0
2002,cookd001,L,R,37,34,7,10,0,0,1,0,5,3,0,7,2,0,0,0,0
2002,coopb001,R,L,27,23,9,19,1,0,3,0,7,3,0,2,0,0,1,0,0
2002,coopb001,R,R,14,12,5,12,1,0,2,0,5,1,0,1,0,0,0,1,0
2002,cordf002,R,L,83,74,14,19,2,0,1,1,9,8,1,22,2,1,0,0,0
2002,cordf002,R,R,94,88,19,27,5,0,1,0,6,5,0,19,2,1,0,0,0
2002,coreb001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,coreb001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,corem001,R,L,44,38,13,23,1,0,3,0,12,4,0,8,1,2,0,0,0
2002,corem001,R,R,71,57,19,40,3,0,6,0,10,12,2,13,2,1,1,0,0
2002,cormr001,L,L,94,79,23,33,3,2,1,0,16,11,0,20,4,2,0,1,1
2002,cormr001,L,R,174,150,38,63,8,1,5,0,20,21,6,29,6,2,0,1,0
2002,cornn001,R,L,122,110,30,44,6,1,2,0,11,11,0,12,2,0,0,1,0
2002,cornn001,R,R,108,98,33,53,8,0,4,1,18,7,0,11,4,2,1,0,0
2002,creed001,L,L,103,88,21,38,2,0,5,0,18,10,0,25,1,3,1,1,0
2002,creed001,L,R,159,130,36,64,13,0,5,0,23,25,2,31,2,4,0,0,0
2002,cresj001,R,L,75,62,22,34,7,1,1,0,15,12,4,11,0,0,0,1,0
2002,cresj001,R,R,79,69,18,34,1,0,5,0,12,7,0,11,2,1,1,1,0
2002,crudm001,R,L,79,73,18,26,5,0,1,0,7,6,1,15,0,0,0,0,0
2002,crudm001,R,R,134,116,25,38,7,0,2,0,18,8,1,32,2,1,3,6,0
2002,cruzj005,R,L,189,148,37,52,4,1,3,0,22,31,3,37,3,5,1,4,0
2002,cruzj005,R,R,242,201,47,78,5,1,8,0,28,28,1,44,4,3,6,4,0
2002,cruzn001,R,L,163,147,44,74,11,2,5,1,29,13,3,26,1,2,0,1,0
2002,cruzn001,R,R,197,169,46,83,14,1,7,0,31,16,1,35,2,4,5,2,1
2002,cunnw001,R,L,46,38,15,28,1,0,4,0,7,7,1,8,1,1,0,0,0
2002,cunnw001,R,R,69,62,12,18,3,0,1,0,9,6,0,22,3,0,1,0,0
2002,cyr-e001,L,L,16,11,3,4,1,0,0,0,2,3,0,3,1,0,1,1,0
2002,cyr-e001,L,R,13,10,3,3,0,0,0,0,2,3,1,1,0,0,0,0,0
2002,daalo001,L,L,168,148,36,59,5,0,6,0,18,15,0,33,9,1,3,1,0
2002,daalo001,L,R,500,447,106,173,23,1,14,1,51,39,3,72,9,3,8,3,0
2002,damij001,R,L,305,269,67,103,15,3,5,0,30,28,5,44,5,2,4,2,0
2002,damij001,R,R,316,300,85,155,19,3,15,0,46,9,3,57,4,1,4,2,0
2002,darev001,L,L,79,67,17,29,3,0,3,0,11,8,0,15,1,2,2,0,0
2002,darev001,L,R,154,133,44,78,5,4,7,0,26,18,4,18,3,0,0,3,0
2002,davet001,R,L,39,32,9,17,2,0,2,0,8,6,1,10,0,1,0,0,0
2002,davet001,R,R,58,48,14,17,3,0,0,0,11,5,0,11,1,2,0,3,0
2002,david002,L,L,82,74,18,32,4,2,2,0,11,5,0,10,2,1,1,1,0
2002,david002,L,R,180,157,49,77,11,1,5,0,23,17,0,18,8,2,2,2,0
