game.key,game.date,game.number,site.key,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
BOS194405172,1944-05-17,2,BOS07,1,BOS,SLA,1,0,1,0,1,,41,8,15,27,4,1,2,,8,,2,,3,0,0,0,0,0,0,0,8,1,1,0,0,0,1,0,1,0,27,53,,12,0,14,,,,1,0,14,,6,,0,3,0,,0,0,,,,,,,1,27,43,27,12,4,3,0,0
BOS194405180,1944-05-18,0,BOS07,1,BOS,SLA,1,1,0,0,1,,41,12,15,18,3,0,0,,11,,8,,2,1,0,0,0,1,0,0,13,1,1,1,0,0,0,1,0,0,27,32,,1,0,5,8,3,0,0,0,1,,2,,0,0,0,,0,0,,,,,,,1,27,40,27,13,0,1,0,0
BOS194405180,1944-05-18,0,BOS07,1,BOS,SLA,1,1,0,0,1,49,41,12,15,18,3,0,0,0,11,,8,2,2,1,0,0,0,1,0,0,13,1,1,1,0,0,0,1,0,0,27,32,31,1,1,5,8,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,14,9,,,1,27,32,21,11,0,1,0,0
BOS194405190,1944-05-19,0,BOS07,1,BOS,CHA,1,1,0,0,1,,46,3,13,16,0,0,1,,3,,5,,4,1,0,1,0,1,0,0,15,1,1,0,0,0,1,1,0,0,36,49,,2,0,13,,,,0,0,5,,4,,0,0,0,,0,0,,,,,,,1,36,55,36,18,1,3,0,0
BOS194405200,1944-05-20,0,BOS07,1,BOS,CHA,1,1,0,0,1,,31,8,11,14,1,1,0,,7,,4,,1,2,0,3,0,0,0,0,6,1,1,1,0,0,0,1,0,0,27,35,,1,0,7,11,1,0,1,0,3,,3,,0,0,0,,0,0,,,,,,,1,27,42,27,14,1,2,0,0
BOS194405211,1944-05-21,1,BOS07,1,BOS,CHA,1,1,0,0,1,,32,4,10,12,2,0,0,,3,,1,,4,2,0,0,0,0,0,0,5,1,1,1,0,0,0,1,0,0,27,34,,3,0,9,12,1,1,0,0,0,,3,,0,0,0,,0,1,,,,,,,1,27,38,27,10,1,1,0,0
BOS194405212,1944-05-21,2,BOS07,1,BOS,CHA,1,1,0,0,1,,34,9,12,22,2,1,2,,9,,3,,2,0,0,2,0,0,0,0,6,1,1,0,0,0,1,1,0,0,27,37,,2,0,4,,,,0,0,5,,1,,0,0,0,,0,0,,,,,,,1,27,39,27,10,2,0,0,0
SLA194405240,1944-05-24,0,STL07,0,BOS,SLA,1,0,1,0,1,,31,3,7,12,2,0,1,,3,,4,,5,1,0,1,0,0,2,0,6,1,1,0,0,0,1,0,1,0,24,38,,7,0,7,,,,0,0,9,,3,,0,0,0,,1,0,,,,,,,1,24,41,24,15,2,1,0,0
SLA194405250,1944-05-25,0,STL07,0,BOS,SLA,1,0,1,0,1,,34,2,7,8,1,0,0,,2,,5,,3,0,0,1,0,0,0,0,11,1,1,0,0,0,1,0,1,0,24,35,,3,0,7,,,,1,0,3,,3,,1,1,0,,0,0,,,,,,,1,24,35,24,11,0,0,0,0
SLA194405260,1944-05-26,0,STL07,0,BOS,SLA,1,1,0,0,1,,39,4,7,7,0,0,0,,4,,2,,3,0,0,0,0,0,0,0,4,1,1,0,0,0,1,1,0,0,33,44,,2,0,8,,,,0,0,3,,9,,0,1,0,,0,0,,,,,,,1,33,44,33,10,1,0,0,0
SLA194405270,1944-05-27,0,STL07,0,BOS,SLA,1,0,1,0,1,,33,2,4,7,1,1,0,,1,,1,,5,0,0,0,0,1,0,0,5,1,1,0,0,0,1,0,1,0,24,35,,4,0,7,,,,0,0,4,,4,,0,1,0,,0,0,,,,,,,1,24,34,24,10,0,0,0,1
SLA194405270,1944-05-27,0,STL07,0,BOS,SLA,1,0,1,0,1,34,33,2,4,7,1,1,0,0,1,,1,0,5,0,0,0,0,1,0,0,5,1,1,0,0,0,1,0,1,0,24,35,30,4,4,7,11,2,1,0,0,4,0,4,0,0,1,0,0,0,0,2,1,11,8,,,1,24,29,21,8,0,0,0,1
CHA194405281,1944-05-28,1,CHI10,0,BOS,CHA,1,1,0,0,1,,35,6,10,11,1,0,0,,4,,9,,4,2,0,3,0,0,0,0,14,1,1,1,0,0,0,1,0,0,27,38,,4,0,10,11,1,0,0,0,2,,3,,0,0,0,,0,0,,,,,,,1,27,39,27,10,2,0,0,0
CHA194405282,1944-05-28,2,CHI10,0,BOS,CHA,1,1,0,0,1,,35,4,8,10,0,1,0,,3,,2,,4,1,0,1,0,1,0,0,7,1,1,1,0,0,0,1,0,0,27,41,,2,0,7,7,0,0,0,0,5,,1,,0,1,0,,0,0,,,,,,,1,27,41,27,12,2,0,0,0
CHA194405290,1944-05-29,0,CHI10,0,BOS,CHA,1,1,0,0,1,,34,3,9,11,2,0,0,,2,,2,,3,0,0,1,0,0,3,0,7,1,1,1,0,0,0,1,0,0,27,34,,1,0,8,8,0,0,0,0,0,,0,,0,0,0,,0,0,,,,,,,1,27,36,27,9,0,1,0,0
CLE194405301,1944-05-30,1,CLE07,0,BOS,CLE,1,0,1,0,1,,36,3,9,13,1,0,1,,3,,3,,5,0,1,0,0,0,0,0,10,1,1,0,0,0,1,0,1,0,24,42,,9,0,13,,,,1,0,6,,3,,0,0,0,,0,0,,,,,,,1,24,34,24,10,0,1,0,0
CLE194405302,1944-05-30,2,CLE07,0,BOS,CLE,1,0,1,0,1,,33,3,7,7,0,0,0,,3,,6,,7,0,0,0,0,1,1,0,9,1,1,0,0,0,1,0,1,0,24,39,,4,0,8,,,,0,0,9,,3,,0,0,0,,1,0,,,,,,,1,24,34,24,10,0,0,0,0
CLE194405310,1944-05-31,0,CLE06,0,BOS,CLE,1,0,1,0,1,,32,4,9,15,1,1,1,,4,,8,,1,3,0,0,0,0,0,0,9,1,1,0,0,0,1,0,1,0,24,38,,7,0,7,,,,0,0,6,,0,,0,0,0,,0,0,,,,,,,1,24,42,24,14,4,1,0,0
CLE194406010,1944-06-01,0,CLE06,0,BOS,CLE,1,1,0,0,1,,31,7,6,10,1,0,1,,6,,7,,2,1,0,0,0,2,0,0,4,1,1,0,0,0,1,1,0,1,27,43,,6,0,7,,,,0,0,9,,1,,0,1,0,,1,0,,,,,,,1,27,41,27,12,2,1,0,0
DET194406020,1944-06-02,0,DET04,0,BOS,DET,1,0,1,0,1,,35,1,7,7,0,0,0,,1,,1,,3,0,0,0,0,0,0,0,8,1,1,0,0,0,1,0,1,0,24,33,,4,0,7,,,,2,0,2,,3,,0,0,0,,0,0,,,,,,,1,24,34,24,10,0,0,0,0
DET194406030,1944-06-03,0,DET04,0,BOS,DET,1,1,0,0,1,,34,11,8,14,3,0,1,,9,,10,,2,1,1,2,0,0,0,0,9,1,1,1,0,0,0,1,0,0,27,42,,1,0,11,13,2,0,0,0,4,,6,,0,0,0,,0,0,,,,,,,1,27,36,27,8,1,0,0,0
DET194406041,1944-06-04,1,DET04,0,BOS,DET,1,0,1,0,1,,31,1,7,7,0,0,0,,0,,2,,2,1,0,1,0,1,1,0,6,1,1,0,0,0,1,0,1,0,24,35,,2,0,6,,,,0,0,4,,2,,1,1,0,,0,0,,,,,,,1,24,39,24,13,2,2,0,0
DET194406042,1944-06-04,2,DET04,0,BOS,DET,1,1,0,0,1,,35,5,9,14,3,1,0,,5,,4,,3,0,0,1,0,1,0,0,8,1,1,1,0,0,0,1,0,0,27,38,,1,0,7,10,0,0,1,0,4,,1,,0,0,0,,0,0,,,,,,,1,27,37,27,9,1,1,0,0
BOS194406070,1944-06-07,0,BOS07,1,BOS,NYA,1,1,0,0,1,,33,8,12,21,4,1,1,,8,,4,,0,0,0,2,0,0,0,0,7,1,1,1,0,0,0,1,0,0,27,33,,1,0,6,9,1,1,0,0,1,,4,,0,0,0,,0,0,,,,,,,1,27,38,27,11,0,0,0,0
BOS194406080,1944-06-08,0,BOS07,1,BOS,NYA,1,1,0,0,1,,35,8,10,15,2,0,1,,8,,8,,2,2,0,0,0,1,0,0,10,1,1,0,0,0,1,1,0,0,27,37,,7,0,9,,,,0,0,4,,6,,0,0,0,,1,0,,,,,,,1,27,36,27,9,0,0,0,1
BOS194406111,1944-06-11,1,BOS07,1,BOS,NYA,1,1,0,0,1,,29,2,6,6,0,0,0,,2,,6,,4,0,0,0,0,2,2,0,9,1,1,1,0,0,0,1,0,0,27,34,,1,0,3,3,0,0,0,0,4,,8,,0,0,0,,0,0,,,,,,,1,27,40,27,10,3,1,0,0
BOS194406112,1944-06-11,2,BOS07,1,BOS,NYA,1,1,0,0,1,,30,4,9,14,2,0,1,,4,,4,,1,1,0,1,0,0,0,0,7,1,1,1,0,0,0,1,0,0,27,33,,1,0,6,8,0,1,0,0,2,,3,,0,0,0,,0,0,,,,,,,1,27,39,27,12,0,2,0,0
BOS194406130,1944-06-13,0,BOS07,1,BOS,PHA,1,1,0,0,1,,30,7,8,13,2,0,1,,7,,5,,2,0,0,2,0,0,0,0,6,1,1,1,0,0,0,1,0,0,27,36,,2,0,7,7,0,0,0,0,3,,5,,0,0,0,,0,0,,,,,,,1,27,40,27,12,1,2,0,0
BOS194406141,1944-06-14,1,BOS07,1,BOS,PHA,1,1,0,0,1,,33,6,9,11,2,0,0,,6,,2,,2,0,0,0,0,0,1,0,5,1,1,0,0,0,1,1,0,0,27,41,,4,0,10,,,,0,0,6,,2,,0,2,0,,0,0,,,,,,,1,27,39,27,11,1,1,0,0
BOS194406141,1944-06-14,1,BOS07,1,BOS,PHA,1,1,0,0,1,35,33,6,9,11,2,0,0,0,6,,2,1,2,0,0,0,0,0,1,0,5,1,1,0,0,0,1,1,0,0,27,41,33,4,4,10,10,0,0,0,0,6,0,2,1,0,2,0,0,0,0,3,2,5,13,,,1,27,39,27,11,1,1,0,0
BOS194406142,1944-06-14,2,BOS07,1,BOS,PHA,1,1,0,0,1,,34,5,10,14,1,0,1,,5,,2,,2,0,1,0,0,3,0,0,8,1,1,1,1,0,0,1,0,0,27,35,,0,0,5,6,1,0,0,0,5,,5,,0,0,0,,0,0,,,,,,,1,27,41,27,14,0,2,0,0
BOS194406150,1944-06-15,0,BOS07,1,BOS,PHA,1,1,0,0,1,,29,5,6,12,1,1,1,,5,,3,,2,0,0,0,0,1,0,0,3,1,1,1,0,0,0,1,0,0,27,32,,1,0,6,7,1,0,0,0,0,,4,,0,0,0,,0,0,,,,,,,1,27,36,27,9,0,1,0,0
WS1194406160,1944-06-16,0,WAS09,0,BOS,WS1,1,0,1,0,1,,30,0,5,5,0,0,0,,0,,2,,2,2,0,0,0,0,0,0,5,1,1,0,0,0,1,0,1,0,24,35,,4,0,8,,,,0,0,3,,2,,0,1,0,,0,0,,,,,,,1,24,35,24,10,1,0,0,0
WS1194406170,1944-06-17,0,WAS09,0,BOS,WS1,1,1,0,0,1,,39,11,15,23,4,2,0,,10,,3,,2,1,0,2,0,1,0,0,6,1,1,1,0,0,0,1,0,0,27,37,,4,0,6,8,0,1,0,0,2,,7,,0,1,0,,0,0,,,,,,,1,27,34,27,5,2,0,0,0
WS1194406181,1944-06-18,1,WAS09,0,BOS,WS1,1,1,0,0,1,,41,9,16,23,2,1,1,,9,,5,,1,2,2,1,0,3,2,0,13,1,1,0,0,0,1,1,0,1,27,38,,6,0,10,,,,1,0,2,,1,,0,0,0,,0,0,,,,,,,1,27,40,27,12,1,1,0,0
WS1194406182,1944-06-18,2,WAS09,0,BOS,WS1,1,0,1,0,1,,30,0,4,6,0,1,0,,0,,0,,3,1,0,1,0,0,0,0,4,1,1,0,0,0,1,0,1,0,24,31,,1,0,10,,,,0,0,2,,0,,0,2,0,,0,0,,,,,,,1,24,34,24,9,1,3,0,0
PHA194406201,1944-06-20,1,PHI11,0,BOS,PHA,1,0,1,0,1,,43,4,11,18,1,0,2,,4,,1,,0,0,0,2,0,0,0,0,9,1,1,1,0,0,0,0,1,0,30,43,,5,0,12,14,2,0,0,0,1,,3,,0,1,0,,0,0,,,,,,,1,30,50,30,19,1,2,0,0
PHA194406202,1944-06-20,2,PHI11,0,BOS,PHA,1,0,1,0,1,,29,0,2,2,0,0,0,,0,,2,,7,0,0,0,0,1,0,0,4,1,1,0,0,0,1,0,1,0,24,32,,2,0,6,,,,1,0,0,,3,,1,1,0,,0,0,,,,,,,1,24,34,24,8,2,0,0,0
PHA194406202,1944-06-20,2,PHI11,0,BOS,PHA,1,0,1,0,1,31,29,0,2,2,0,0,0,0,0,,2,0,7,0,0,0,0,1,0,0,4,1,1,0,0,0,1,0,1,0,24,32,30,2,2,6,9,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,7,13,,,1,24,34,24,8,2,0,0,0
PHA194406210,1944-06-21,0,PHI11,0,BOS,PHA,1,0,1,0,1,,33,2,7,9,2,0,0,,2,,1,,4,0,0,1,0,0,0,0,6,1,1,0,0,0,1,0,1,0,24,36,,5,0,9,,,,0,0,3,,3,,0,1,0,,0,0,,,,,,,1,24,35,24,10,1,0,0,0
PHA194406221,1944-06-22,1,PHI11,0,BOS,PHA,1,1,0,0,1,,46,5,11,15,2,1,0,,4,,1,,4,0,1,1,0,0,1,0,8,1,1,0,0,0,1,1,0,1,36,54,,4,0,11,,,,0,0,9,,3,,0,0,0,,0,0,,,,,,,1,36,53,36,17,0,1,0,1
PHA194406221,1944-06-22,1,PHI11,0,BOS,PHA,1,1,0,0,1,49,46,5,11,15,2,1,0,0,4,,1,0,4,0,1,1,0,0,1,0,8,1,1,0,0,0,1,1,0,1,36,54,45,4,4,11,14,1,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,14,17,,,1,36,53,36,17,0,1,0,1
PHA194406222,1944-06-22,2,PHI11,0,BOS,PHA,1,0,1,0,1,,32,2,5,5,0,0,0,,2,,1,,4,1,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,26,39,,3,0,9,,,,0,0,4,,5,,0,0,0,,0,0,,,,,,,1,26,37,26,9,2,1,0,0
PHA194406222,1944-06-22,2,PHI11,0,BOS,PHA,1,0,1,0,1,33,32,2,5,5,0,0,0,0,2,,1,0,4,1,0,0,0,0,0,0,4,1,1,0,0,0,1,0,1,0,26,39,35,3,1,9,9,0,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,8,11,,,1,26,37,26,9,2,1,0,0
BOS194406230,1944-06-23,0,BOS07,1,BOS,WS1,1,0,1,0,1,,29,1,5,8,1,1,0,,1,,2,,1,2,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,27,45,,7,0,11,,,,0,0,6,,2,,2,0,0,,0,0,,,,,,,1,27,40,27,11,2,1,0,0
BOS194406230,1944-06-23,0,BOS07,1,BOS,WS1,1,0,1,0,1,31,29,1,5,8,1,1,0,0,1,,2,0,1,2,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,27,45,37,7,3,11,14,3,0,0,0,6,0,2,1,2,0,0,0,0,0,0,0,7,15,,,1,27,40,27,11,2,1,0,0
